# ----------------------------------------
# Classplay
# Acesso às páginas-Guia 3
# 20250802-20250831
# ----------------------------------------

Caminho da página e classe da tela,Visualizações,Usuários ativos,Visualizações por usuário ativo,Contagem de eventos,Eventos principais,Receita total
,11613,261,44.49425287356322,31095,0,0,Total geral
/,2184,225,9.706666666666667,5620,0,0
/course/view.php,1813,132,13.734848484848484,4894,0,0
/mod/aiprompts/view.php,940,80,11.75,2171,0,0
/course/management.php,847,8,105.875,1837,0,0
/mod/aiagents/resource.php,712,100,7.12,1719,0,0
/mod/aiprompts/resource.php,623,54,11.537037037037036,2029,0,0
/mod/aiagents/view.php,574,81,7.08641975308642,1712,0,0
/course/modedit.php,473,5,94.6,1876,0,0
/admin/search.php,457,15,30.466666666666665,998,0,0
/course/edit.php,379,10,37.9,1038,0,0
/mod/aitools/view.php,272,62,4.387096774193548,694,0,0
/enrol/instances.php,254,3,84.66666666666667,741,0,0
/user/index.php,221,28,7.892857142857143,517,0,0
/mod/resource/view.php,179,55,3.2545454545454544,463,0,0
/admin/settings.php,151,10,15.1,424,0,0
/mod/aitools/resource.php,136,37,3.675675675675676,468,0,0
/enrol/editinstance.php,103,3,34.333333333333336,431,0,0
/course/editsection.php,97,4,24.25,367,0,0
/turmas-templo/controle-templo/wow-templo,68,21,3.238095238095238,135,0,0
/local/profilecohort/index.php,64,2,32,198,0,0
/mod/forum/view.php,63,39,1.6153846153846154,204,0,0
/turmas-templo,46,17,2.7058823529411766,68,0,0
/user/profile.php,43,9,4.777777777777778,125,0,0
/cohort/index.php,38,5,7.6,89,0,0
/enrol/manual/manage.php,38,1,38,146,0,0
/conteudo/cursos/introducao-iag-no-mkt-digital/introduo-iag-no-marketing-digital,33,20,1.65,86,0,0
/admin/themeselector.php,29,3,9.666666666666666,77,0,0
/course/overview.php,29,19,1.5263157894736843,86,0,0
/auth/oauth2/login.php,25,9,2.7777777777777777,71,0,0
/admin/purgecaches.php,24,2,12,75,0,0
/enrol/index.php,22,5,4.4,68,0,0
/admin/tool/installaddon/index.php,21,2,10.5,93,0,0
/report/log/index.php,21,3,7,63,0,0
/my/courses.php,19,9,2.111111111111111,41,0,0
/grade/report/user/index.php,18,18,1,54,0,0
/user/view.php,18,5,3.6,46,0,0
/message/output/popup/notifications.php,17,15,1.1333333333333333,39,0,0
/admin/index.php,16,2,8,51,0,0
/admin/roles/permissions.php,16,2,8,32,0,0
/admin/user.php,16,5,3.2,47,0,0
/report/log/user.php,16,4,4,38,0,0
/cohort/edit.php,15,3,5,56,0,0
/user/preferences.php,15,9,1.6666666666666667,46,0,0
