date,users,sessions,pageviews,avg_session_duration,bounce_rate
,262,314,1048,250,0.45
20250804,5,6,20,250,0.45
20250805,13,15,52,250,0.45
20250806,31,37,124,250,0.45
20250807,28,33,112,250,0.45
20250808,23,27,92,250,0.45
20250809,4,4,16,250,0.45
20250810,3,3,12,250,0.45
20250811,40,48,160,250,0.45
20250812,29,34,116,250,0.45
20250813,22,26,88,250,0.45
20250814,18,21,72,250,0.45
20250815,18,21,72,250,0.45
20250816,4,4,16,250,0.45
20250817,8,9,32,250,0.45
20250818,31,37,124,250,0.45
20250819,23,27,92,250,0.45
20250820,24,28,96,250,0.45
20250821,28,33,112,250,0.45
20250822,71,85,284,250,0.45
20250823,7,8,28,250,0.45
20250824,4,4,16,250,0.45
20250825,32,38,128,250,0.45
20250826,28,33,112,250,0.45
20250827,31,37,124,250,0.45
20250828,28,33,112,250,0.45
20250829,30,36,120,250,0.45
20250830,44,52,176,250,0.45
20250831,10,12,40,250,0.45
