device,pageviews,sessions,users
,11613,6967,261
/,2184,1310,225
/course/view.php,1813,1087,132
/mod/aiprompts/view.php,940,564,80
/course/management.php,847,508,8
/mod/aiagents/resource.php,712,427,100
/mod/aiprompts/resource.php,623,373,54
/mod/aiagents/view.php,574,344,81
/course/modedit.php,473,283,5
/admin/search.php,457,274,15
/course/edit.php,379,227,10
/mod/aitools/view.php,272,163,62
/enrol/instances.php,254,152,3
/user/index.php,221,132,28
/mod/resource/view.php,179,107,55
/admin/settings.php,151,90,10
/mod/aitools/resource.php,136,81,37
/enrol/editinstance.php,103,61,3
/course/editsection.php,97,58,4
/turmas-templo/controle-templo/wow-templo,68,40,21
/local/profilecohort/index.php,64,38,2
/mod/forum/view.php,63,37,39
/turmas-templo,46,27,17
/user/profile.php,43,25,9
/cohort/index.php,38,22,5
/enrol/manual/manage.php,38,22,1
/conteudo/cursos/introducao-iag-no-mkt-digital/introduo-iag-no-marketing-digital,33,19,20
/admin/themeselector.php,29,17,3
/course/overview.php,29,17,19
/auth/oauth2/login.php,25,15,9
/admin/purgecaches.php,24,14,2
/enrol/index.php,22,13,5
/admin/tool/installaddon/index.php,21,12,2
/report/log/index.php,21,12,3
/my/courses.php,19,11,9
/grade/report/user/index.php,18,10,18
/user/view.php,18,10,5
/message/output/popup/notifications.php,17,10,15
/admin/index.php,16,9,2
/admin/roles/permissions.php,16,9,2
/admin/user.php,16,9,5
/report/log/user.php,16,9,4
/cohort/edit.php,15,9,3
/user/preferences.php,15,9,9
/admin/tool/lp/coursecompetencies.php,14,8,12
/mod/forum/discuss.php,14,8,8
/turmas-templo/controle-templo/turma-formao-de-professores,13,7,2
/WOW-Templo-1755c644545480fdb4a1fbe8d5b8e4ac,12,7,2
/turmas-templo/controle-templo/wow-templo/controle/estratgia-2025,12,7,4
/admin/tool/recyclebin/index.php,11,6,2
/backup/copyprogress.php,11,6,2
/local/profilecohort/cohorts.php,11,6,2
/turmas-templo/controle-templo/turma-jbs-ia-mkt,11,6,5
/course/delete.php,10,6,2
/report/view.php,9,5,4
/turmas-templo/controle-templo/turma-jbs-ia-mkt/mdulo-3-agentes-de-ia,9,5,4
/turmas-templo/controle-templo/wow-templo/controle/estratgia-2025/okrs-por-equipe/okrs-2025-educao,9,5,3
/turmas-templo/controle-templo,8,4,4
/turmas-templo/controle-templo/construa-seu-prompt,8,4,7
/turmas-templo/controle-templo/ferramentas-0425,8,4,5
/turmas-templo/controle-templo/turma-jbs-ia-mkt/mdulo-1-fundamentos-e-engenharia-de-prompts,8,4,3
/turmas-templo/controle-templo/wow-templo/controle,8,4,1
/turmas-templo/controle-templo/wow-templo/rituais-do-templo,8,4,4
/course/section.php,7,4,3
/report/outline/user.php,7,4,2
/turmas-templo/controle-templo/automao-para-rh/prompts-para-recursos-humanos,7,4,5
/automacao/biblioteca-de-prompts,6,3,5
/turmas-templo/controle-templo/automao-para-rh/lista-de-agentes-gpt-avanados/lista-de-agentes-gpt-avanados,6,3,1
/turmas-templo/controle-templo/wow-templo/controle/onboarding-templo,6,3,5
/turmas-templo/controle-templo/wow-templo/guia-de-cultura,6,3,3
/user/profilesys.php,6,3,2
/WOW-Templo-ways-of-work-1755c644545480fdb4a1fbe8d5b8e4ac,5,3,2
/conteudo/cursos/mini-cursos-tematicos,5,3,4
/turmas-templo/controle-templo/automao-para-rh/prompts-para-recursos-humanos/atrao-e-recrutamento-de-talento,5,3,1
/turmas-templo/controle-templo/turma-dannemann-ia-law,5,3,1
/user/edit.php,5,3,4
/user/editadvanced.php,5,3,3
/Construa-Seu-Prompt-1655c644545480959699d20c9c02ce7c,4,2,1
/course/loginas.php,4,2,2
/course/switchrole.php,4,2,2
/ee0a74cee3f5490c89f562e291580e07,4,2,2
/grade/report/grader/index.php,4,2,2
/mod/aiprompts/area.php,4,2,1
/mod/lti/coursetools.php,4,2,1
/turmas-templo/controle-templo/wow-templo/controle/repositrio-de-contedos,4,2,2
/turmas-templo/controle-templo/wow-templo/cultura-templo,4,2,2
/turmas-templo/controle-templo/wow-templo/perfil-dos-monges,4,2,1
/1cb5c644545481c49e13d71c912f4e6f,3,1,1
/admin/plugins.php,3,1,3
/admin/registration/index.php,3,1,2
/admin/tool/brickfield/registration.php,3,1,1
/automacao/agentes-prontos,3,1,3
/automacao/workflows,3,1,3
/contentbank/index.php,3,1,3
