page,pageviews,sessions,users
,0.0,0,11613.0
Página inicial | Classplay,0.0,0,2081.0
Gerenciamento de curso e categoria | Classplay,0.0,0,847.0
Prompts | Classplay,0.0,0,833.0
Agentes IA | Classplay,0.0,0,537.0
Agentes IA | Classplay,0.0,0,518.0
Prompts | Classplay,0.0,0,514.0
Pesquisa | Administração | Classplay,0.0,0,434.0
Editar configurações do curso | Classplay,0.0,0,374.0
Ferramentas | Classplay,0.0,0,272.0
Métodos de inscrição | Classplay,0.0,0,254.0
Agente Generativo | Classplay,0.0,0,189.0
Curso: Lápis Raro | Classplay,0.0,0,141.0
Ferramentas | Classplay,0.0,0,136.0
Curso: Introdução à IA Generativa | Classplay,0.0,0,110.0
Prompts Freemium | Classplay,0.0,0,108.0
Prompts Freemium | Classplay,0.0,0,106.0
Curso: Modelos de IA | Classplay,0.0,0,105.0
Sincronização de coorte | Classplay,0.0,0,100.0
Editar curso: O Mundo dos Agentes | Classplay,0.0,0,98.0
Classplay,0.0,0,82.0
Curso: FCA: Formação de Talentos | Classplay,0.0,0,70.0
Editar curso: Introdução à IA Generativa | Classplay,0.0,0,68.0
Inscrição em coorte por campo de perfil | Classplay,0.0,0,64.0
Avisos do site | Classplay,0.0,0,63.0
Editar curso: FCA: Formação de Talentos | Classplay,0.0,0,59.0
Editar curso: 🔒 IA + Branding | Classplay,0.0,0,54.0
Editar curso: Modelos de IA | Classplay,0.0,0,47.0
WOW Templo [ways of work],0.0,0,47.0
Turmas Templo,0.0,0,46.0
ClassPlay | Configurações de tema personalizado | Aparência | Administração | Classplay,0.0,0,44.0
Curso: 🔒 IA + Branding | Classplay,0.0,0,43.0
Editar curso: 🔒 Imagem & Vídeo | Classplay,0.0,0,42.0
LAPISRARO.0925T1: Playlist de Estudos - Módulo 1 | Classplay,0.0,0,41.0
Curso: O Mundo dos Agents | Classplay,0.0,0,40.0
Editar curso: IA Generativa no Marketing Digital | Classplay,0.0,0,39.0
Gerenciar inscrições manuais | Classplay,0.0,0,38.0
Agente Generativo | Classplay,0.0,0,37.0
LAPISRARO.0925T1: Apresentação - Aulas 1 e 2 | Classplay,0.0,0,37.0
1. Introdução à IAG no Marketing Digital,0.0,0,33.0
Editar curso: 🔒 Operações de Marketing | Classplay,0.0,0,33.0
Configurações da página principal | Página principal | Administração | Classplay,0.0,0,31.0
Coortes do sistemas | Classplay,0.0,0,31.0
Editar curso: 🔒 O Básico de I.A no Marketing | Classplay,0.0,0,30.0
Curso: eBooks | Classplay,0.0,0,29.0
Editar curso: IA para Advogados | Classplay,0.0,0,29.0
Novo Arquivo | TEMPLO.FCA | Classplay,0.0,0,29.0
Temas | Aparência | Administração | Classplay,0.0,0,29.0
Editar curso: 🔒 O Mundo dos Agents | Classplay,0.0,0,28.0
Curso: O Mundo dos Agentes | Classplay,0.0,0,27.0
Curso: Masterclasses | Classplay,0.0,0,26.0
Editar curso: O Mundo dos Agents | Classplay,0.0,0,25.0
Erro | Classplay,0.0,0,25.0
Editar curso: Dannemann [IA + Law] | Classplay,0.0,0,24.0
Curso: Onboarding de Professores | Classplay,0.0,0,23.0
Curso: 🔒 O Mundo dos Agents | Classplay,0.0,0,23.0
Search | Administration | Classplay,0.0,0,23.0
"""Seção: 🔒 Crie tom de voz",0.0,0,0.0
Editar curso: O Básico de IA Generativa no Marketing Digital | Classplay,0.0,0,22.0
Classplay: Participantes | Classplay,0.0,0,21.0
Curso: IA + Branding | Classplay,0.0,0,21.0
Curso: Imagem & Vídeo | Classplay,0.0,0,21.0
Código HTML adicional | Aparência | Administração | Classplay,0.0,0,21.0
Home | Classplay,0.0,0,21.0
WOW Templo,0.0,0,21.0
Editar curso: IA + Branding | Classplay,0.0,0,20.0
Editar curso: O Básico de IAGen no Marketing Digital | Classplay,0.0,0,20.0
Logs | Classplay,0.0,0,20.0
Editar curso: Freemium Simulado | Classplay,0.0,0,19.0
Meus cursos | Classplay,0.0,0,19.0
Curso: Dannemann [IA + Law] | Classplay,0.0,0,18.0
Curso: Freemium Simulado | Classplay,0.0,0,18.0
Curso: O Básico de IAGen no Marketing Digital | Classplay,0.0,0,18.0
