# ----------------------------------------
# Classplay
# Caminhos de página-Formato livre 1
# 20250802-20250831
# ----------------------------------------

Título da página,Caminho da página e classe da tela,Visualizações,Usuários ativos,Tempo médio de engajamento por sessão,Contagem de eventos
,,11613,261,178.8071672354949,31095,Total geral
Página inicial | Classplay,/,2081,216,41.04613610149942,5391
Gerenciamento de curso e categoria | Classplay,/course/management.php,847,8,81.87951807228916,1837
Prompts | Classplay,/mod/aiprompts/view.php,833,80,52.351351351351354,1912
Agentes IA | Classplay,/mod/aiagents/view.php,537,73,59.01025641025641,1594
Agentes IA | Classplay,/mod/aiagents/resource.php,518,52,67.68243243243244,1178
Prompts | Classplay,/mod/aiprompts/resource.php,514,53,70.76229508196721,1614
Pesquisa | Administração | Classplay,/admin/search.php,434,14,33.46017699115044,950
Editar configurações do curso | Classplay,/course/edit.php,374,9,56.391304347826086,1020
Ferramentas | Classplay,/mod/aitools/view.php,272,62,35.73728813559322,694
Métodos de inscrição | Classplay,/enrol/instances.php,254,3,41.2,741
Agente Generativo | Classplay,/mod/aiagents/resource.php,189,72,45.595588235294116,526
Curso: Lápis Raro | Classplay,/course/view.php,141,49,41.71910112359551,370
Ferramentas | Classplay,/mod/aitools/resource.php,136,37,30.768115942028984,468
Curso: Introdução à IA Generativa | Classplay,/course/view.php,110,34,228.81720430107526,562
Prompts Freemium | Classplay,/mod/aiprompts/resource.php,108,1,822,411
Prompts Freemium | Classplay,/mod/aiprompts/view.php,106,1,315.5,256
Curso: Modelos de IA | Classplay,/course/view.php,105,14,22.6,326
Sincronização de coorte | Classplay,/enrol/editinstance.php,100,3,42.46153846153846,424
Editar curso: O Mundo dos Agentes | Classplay,/course/view.php,98,1,404,216
Classplay,/,82,23,12.885714285714286,174
Curso: FCA: Formação de Talentos | Classplay,/course/view.php,70,27,174.8135593220339,236
Editar curso: Introdução à IA Generativa | Classplay,/course/view.php,68,3,167.8181818181818,152
Inscrição em coorte por campo de perfil | Classplay,/local/profilecohort/index.php,64,2,36.18181818181818,198
Avisos do site | Classplay,/mod/forum/view.php,63,39,8.166666666666666,204
Editar curso: FCA: Formação de Talentos | Classplay,/course/view.php,59,4,213.1,128
Editar curso: 🔒 IA + Branding | Classplay,/course/view.php,54,2,80.08333333333333,120
Editar curso: Modelos de IA | Classplay,/course/view.php,47,2,59,118
WOW Templo [ways of work],/turmas-templo/controle-templo/wow-templo,47,14,23.636363636363637,102
Turmas Templo,/turmas-templo,46,17,21.825,68
ClassPlay | Configurações de tema personalizado | Aparência | Administração | Classplay,/admin/settings.php,44,3,89.26666666666667,146
Curso: 🔒 IA + Branding | Classplay,/course/view.php,43,2,44.5,98
Editar curso: 🔒 Imagem & Vídeo | Classplay,/course/view.php,42,2,117.8,92
LAPISRARO.0925T1: Playlist de Estudos - Módulo 1 | Classplay,/mod/resource/view.php,41,26,23.558823529411764,110
