# ----------------------------------------
# Classplay
# Exploração sem título-Formato livre 1
# 20250804-20250831
# ----------------------------------------

Data da primeira visita,Novos usuários
,213,Total geral
20250822,48
20250811,17
20250830,12
20250806,10
20250812,10
20250818,10
20250825,10
20250821,9
20250827,9
20250808,8
20250807,7
20250820,7
20250826,7
20250829,7
20250815,6
20250819,6
20250828,6
20250813,5
20250814,5
20250805,4
20250823,3
20250804,1
20250809,1
20250810,1
20250816,1
20250817,1
20250824,1
20250831,1

