# ----------------------------------------
# Classplay
# Vídeos-Formato livre 3
# 20250802-20250831
# ----------------------------------------

Título do vídeo,Contagem de eventos
,40,Total geral
2(5/11) Design de Apresentações em Segundos: IA como Sua Nova Ferramenta de Design,6
0(2/2) Boas-vindas ao Mundo da IA,4
0(1/2) Como estudar: Maximize Seu Aprendizado,3
1 (1/12) Desvendando os Mistérios da IA Generativa (Parte I),3
1(3/12) IA Generativa - Possibilidades e Usos,3
1(4/12) LLMs Decifrados: A Ciência por Trás dos Modelos de Texto,3
1(6/12) Engenharia de Prompts Parte I: Fundamentos e Princípios,3
1(2/12) Desvendando os Mistérios da IA Generativa - Parte II,2
1 (10/12) Gigantes da IA Textual: Gemini e Google AI Studio,1
1(11/12) Gigantes da IA Textual: ChatGPT e Playground,1
1(5/12) Gigantes da IA Textual: Mistral e Groq,1
1(7/12) Engenharia de Prompts Parte II: Prompts Avançados e Recursivos,1
1(8/12) Engenharia de Prompts Parte III: Personas e System Roles,1
1(9/12) A IA e o Futuro da Produtividade: Uma Visão Transformadora,1
18/08/2025 M2 A3 - Casos de Uso em Design Educacional,1
A Revolução da Inteligência Artificial,1
Como estudar,1
Dê boas vindas ao Futuro: Introdução ao Mundo dos Agents,1
"Introdução as ferramentas de geração de imagem, comparativos e plugins (Parte  02)",1
"Meta Prompts e Prompts Recursivos COT, TOT",1
Princípios fundamentais: Em busca do prompt perfeito,1

