# ----------------------------------------
# Classplay
# Vídeos-Formato livre 3
# 20250802-20250831
# ----------------------------------------

Título do vídeo,Contagem de eventos
,228,Total geral
0(2/2) Boas-vindas ao Mundo da IA,22
1 (1/12) Desvendando os Mistérios da IA Generativa (Parte I),18
2(5/11) Design de Apresentações em Segundos: IA como Sua Nova Ferramenta de Design,14
0(1/2) Como estudar: Maximize Seu Aprendizado,13
1(3/12) IA Generativa - Possibilidades e Usos,13
1(4/12) LLMs Decifrados: A Ciência por Trás dos Modelos de Texto,12
1(6/12) Engenharia de Prompts Parte I: Fundamentos e Princípios,12
1(2/12) Desvendando os Mistérios da IA Generativa - Parte II,8
2(9/11) Evoluindo Seu Agent: Framework de criação de agents,7
1(7/12) Engenharia de Prompts Parte II: Prompts Avançados e Recursivos,6
18/08/2025 M2 A3 - Casos de Uso em Design Educacional,6
A Revolução da Inteligência Artificial,6
1(5/12) Gigantes da IA Textual: Mistral e Groq,5
1 (10/12) Gigantes da IA Textual: Gemini e Google AI Studio,4
1(11/12) Gigantes da IA Textual: ChatGPT e Playground,4
1(8/12) Engenharia de Prompts Parte III: Personas e System Roles,4
1(9/12) A IA e o Futuro da Produtividade: Uma Visão Transformadora,4
2(11/11) Mãos à Obra: Construindo Seu Primeiro Agent - Parte 2,4
20/08/25 - Masterclass - Lápis Raro,4
Como estudar,4
Dê boas vindas ao Futuro: Introdução ao Mundo dos Agents,4
"Introdução as ferramentas de geração de imagem, comparativos e plugins (Parte  02)",4
"Introdução as ferramentas de geração de imagem, comparativos. Parte 01: Casos de Uso",4
"Meta Prompts e Prompts Recursivos COT, TOT",4
O que são Workflows de agents e quando usá-los,4
O que são prompts: Prompts Básicos,4
Palestra Inteligência Artificial Marketing e Produtividade por Herman Bessler | MMA Impact 2024,4
Princípios fundamentais: Em busca do prompt perfeito,4
Prompts Avançados e Contexto,4
05/02/25 Masterclass - Transformação Digital no Direito com IA Generativa,3
1(12/12) Gigantes da IA Textual: Conclusão,3
AGENTES IA | Como criar um GPT Agent do zero até o upload  | Dicas de Engenharia de prompt,3
Por que os AI Agents mudam o paradigma da automação?,3
Testando IA Perplexity - Futuro da Programação,3
🎙 AnaMid Cast: Do Hype ao Real: IA que gera valor para os negócios,3
30/06/25 Encontro de Abertura,2
04/08/25 M2 A1 - Criação e Edição de Imagens com IA,1
11/08/25 M2 A2 - Apresentações e E-books Enriquecidos,1

