# ----------------------------------------
# Classplay
# Vídeos-Formato livre 3
# 20250802-20250831
# ----------------------------------------

Título do vídeo,Contagem de eventos
,204,Total geral
30/06/25 Encontro de Abertura,11
0(2/2) Boas-vindas ao Mundo da IA,8
2(5/11) Design de Apresentações em Segundos: IA como Sua Nova Ferramenta de Design,8
20/08/25 - Masterclass - Lápis Raro,8
A Revolução da Inteligência Artificial,7
1 (1/12) Desvendando os Mistérios da IA Generativa (Parte I),6
1(6/12) Engenharia de Prompts Parte I: Fundamentos e Princípios,6
0(1/2) Como estudar: Maximize Seu Aprendizado,5
04/08/25 M2 A1 - Criação e Edição de Imagens com IA,5
07/07/25 M1 A1 - Introdução à IA Generativa e Modelos de Linguagem,5
1(3/12) IA Generativa - Possibilidades e Usos,5
1(4/12) LLMs Decifrados: A Ciência por Trás dos Modelos de Texto,4
Rick Astley - Never Gonna Give You Up (Official Video) (4K Remaster),4
1(2/12) Desvendando os Mistérios da IA Generativa - Parte II,3
18/08/2025 M2 A3 - Casos de Uso em Design Educacional,3
2(11/11) Mãos à Obra: Construindo Seu Primeiro Agent - Parte 2,3
2(9/11) Evoluindo Seu Agent: Framework de criação de agents,3
21/07/25 M1 A3 - Casos de Uso em Educação e Projeto Prático,3
Dê boas vindas ao Futuro: Introdução ao Mundo dos Agents,3
Módulo01 Pílula 3,3
Módulo01 Pílula 7,3
Por que os AI Agents mudam o paradigma da automação?,3
05/02/25 Masterclass - Transformação Digital no Direito com IA Generativa,2
1(5/12) Gigantes da IA Textual: Mistral e Groq,2
1(7/12) Engenharia de Prompts Parte II: Prompts Avançados e Recursivos,2
1(8/12) Engenharia de Prompts Parte III: Personas e System Roles,2
11/08/25 M2 A2 - Apresentações e E-books Enriquecidos,2
14/07/25 M1 A2 -  Criando com IA: Textos e Prompting Estratégico,2
22/08/25 - Onboarding Classplay - Lápis Raro,2
28/07/25 M1 Aula Extra - Engenharia de Prompts,2
Como Usar o Notebook LM  - A Nova Inteligência Artificial do Google,2
"Introdução as ferramentas de geração de imagem, comparativos. Parte 01: Casos de Uso",2
"Meta Prompts e Prompts Recursivos COT, TOT",2
O que são prompts: Prompts Básicos,2
Palestra Inteligência Artificial Marketing e Produtividade por Herman Bessler | MMA Impact 2024,2
Princípios fundamentais: Em busca do prompt perfeito,2
🎙 AnaMid Cast: Do Hype ao Real: IA que gera valor para os negócios,2
1 (10/12) Gigantes da IA Textual: Gemini e Google AI Studio,1
1(11/12) Gigantes da IA Textual: ChatGPT e Playground,1
1(12/12) Gigantes da IA Textual: Conclusão,1
1(9/12) A IA e o Futuro da Produtividade: Uma Visão Transformadora,1
12  Criando um GPT: passo a passo,1
2(1/13) 5  Fundamentos da IA Generativa: compreendendo os conceitos básicos,1
"2(10/13) 14  Dados, privacidade e ética: segurança na era da IA",1
2(11/13) 15 Como utilizar You.com e Perplexity para pesquisas?,1
2(12/13) 16  IA e o futuro do direito: o que esperar?,1
2(13/13) 17  Template e Metodologias da Engenharia de Prompts,1
2(2/13) 6  Fundamentos de IA Generativa: funcionamento e limitações do ChatGPT,1
2(3/13) 7  Modelos de LLM: quais são os modelos disponíveis no mercado e como escolher?,1
2(4/13) 8  NotebookLM   RAG: como conversar com seus documentos,1
2(5/13) 9  Como funciona a interface do ChatGPT,1
"2(6/11) IA, Criatividade e Inovação",1
2(6/13) 10  Introdução à Engenharia de Prompts,1
2(7/11) Aprendendo a aprender com o ChatGPT,1
2(7/13) 11  Introdução ao GPT Store: ferramentas e aplicações,1
2(8/11) Mãos à Obra: Construindo Seu Primeiro Agent - Parte 1,1
2(9/13) 13  Otimizando um GPT: melhores práticas,1
25/08/25 M3 A1 - Linguagem Audiovisual e Produção de Vídeos com IA,1
3(1/8) 18  Preparando se para a IA: habilidades necessárias,1
3(2/8) 19  Ferramentas de IA: introdução e visão geral,1
3(3/8) 20  Uso de IA em equipes jurídicas,1
3(4/8) 21 Melhorando a pesquisa: ferramentas inteligentes,1
3(5/8) 22  Gerenciamento de tarefas: automação e eficiência,1
3(6/8) 23 Serviços jurídicos personalizados: aplicação de IA,1
